Source,Target,Weight
TheBlueMatt,tayl0r,1
gavinandresen,p2k,1
gavinandresen,tayl0r,1
p2k,tayl0r,1
laanwj,piotr-szegda,1
laanwj,bitaussie,1
piotr-szegda,bitaussie,1
TheBlueMatt,mustafadane,1
TheBlueMatt,achow101,9
TheBlueMatt,ryanofsky,12
sipa,mustafadane,1
sipa,achow101,37
sipa,ryanofsky,17
mustafadane,achow101,1
mustafadane,ryanofsky,1
achow101,ryanofsky,7
Diapolo,tcatm,1
gavinandresen,dooglus,3
dooglus,Diapolo,2
luke-jr,gmaxwell,52
gmaxwell,rebroad,21
jojkaart,Diapolo,2
Diapolo,Coryboy6,1
sipa,Coryboy6,1
Coryboy6,gavinandresen,1
Serjster,sipa,1
Serjster,luke-jr,1
Serjster,laanwj,1
luke-jr,MarcoFalke,83
gmaxwell,MarcoFalke,59
Diapolo,MarcoFalke,13
laanwj,molecular,1
Diapolo,molecular,1
TheBlueMatt,weex,1
TheBlueMatt,promag,7
TheBlueMatt,unsystemizer,7
weex,promag,1
weex,unsystemizer,1
promag,unsystemizer,2
sipa,nreal2,1
gavinandresen,rebroad,7
gavinandresen,nreal2,1
laanwj,nreal2,1
Diapolo,nreal2,1
rebroad,nreal2,1
gmaxwell,brokewallet,1
Diapolo,brokewallet,1
brokewallet,sipa,1
laanwj,jonasschnelli,260
laanwj,Squeezle42,1
Diapolo,jonasschnelli,27
Diapolo,Squeezle42,1
sipa,jonasschnelli,98
sipa,Squeezle42,1
rebroad,jonasschnelli,14
rebroad,Squeezle42,1
gmaxwell,jonasschnelli,25
gmaxwell,Squeezle42,1
jonasschnelli,Squeezle42,1
Diapolo,jtimon,1
Diapolo,promag,2
Diapolo,meshcollider,1
MarcoFalke,jtimon,6
MarcoFalke,promag,111
MarcoFalke,meshcollider,35
jtimon,promag,2
jtimon,meshcollider,2
promag,meshcollider,11
gavinandresen,qubez,6
qubez,laanwj,12
laanwj,ciyam,1
laanwj,jonls,1
laanwj,extr0p,2
ciyam,jonls,1
ciyam,rebroad,1
ciyam,gmaxwell,1
ciyam,extr0p,1
ciyam,sipa,1
ciyam,rkfg,1
jonls,rebroad,1
jonls,gmaxwell,1
jonls,extr0p,1
jonls,sipa,1
jonls,rkfg,1
rebroad,extr0p,1
rebroad,rkfg,1
gmaxwell,extr0p,1
extr0p,sipa,2
extr0p,rkfg,1
SteveBell,Diapolo,2
SteveBell,gavinandresen,1
SteveBell,dusoft,1
Diapolo,dusoft,1
TheBlueMatt,dusoft,1
gavinandresen,dusoft,1
Stemby,shamoons,1
Stemby,laanwj,1
laanwj,drizzt,1
laanwj,johncalistro,1
laanwj,Leviathn,15
laanwj,Sjors,32
laanwj,thijstriemstra,2
Leviathn,MarcoFalke,11
Leviathn,Sjors,3
Leviathn,thijstriemstra,1
MarcoFalke,Sjors,51
MarcoFalke,thijstriemstra,3
Sjors,thijstriemstra,1
olhovsky,jlherren,1
olhovsky,cdhowie,1
olhovsky,laanwj,1
jlherren,cdhowie,1
jlherren,laanwj,1
cdhowie,laanwj,1
laanwj,weex,1
laanwj,tuttleorbuttle,1
weex,tuttleorbuttle,1
Diapolo,ripper234,1
sipa,ripper234,1
laanwj,ripper234,2
Diapolo,mrmx,1
burger2,Dr-Nix,1
laanwj,Dr-Nix,1
gavinandresen,msva,1
msva,laanwj,1
laanwj,jojkaart,1
Blackhawke,mmazi,1
Blackhawke,Diapolo,1
Blackhawke,rebroad,1
Blackhawke,laanwj,1
Blackhawke,interfect,1
Blackhawke,dnohales,1
Blackhawke,jprupp,1
Blackhawke,jfisbein,1
Blackhawke,stevenh512,1
Blackhawke,themighty1,1
Blackhawke,kapcom01,1
Blackhawke,br0x,1
Blackhawke,dooglio,1
Blackhawke,elichai,1
mmazi,Diapolo,1
mmazi,rebroad,1
mmazi,laanwj,1
mmazi,interfect,1
mmazi,dnohales,1
mmazi,jprupp,1
mmazi,jfisbein,1
mmazi,stevenh512,1
mmazi,themighty1,1
mmazi,kapcom01,1
mmazi,br0x,1
mmazi,dooglio,1
mmazi,elichai,1
Diapolo,interfect,1
Diapolo,dnohales,1
Diapolo,jprupp,1
Diapolo,jfisbein,1
Diapolo,stevenh512,1
Diapolo,themighty1,1
Diapolo,kapcom01,1
Diapolo,br0x,1
Diapolo,dooglio,1
Diapolo,elichai,1
rebroad,interfect,1
rebroad,dnohales,1
rebroad,jprupp,1
rebroad,jfisbein,1
rebroad,stevenh512,1
rebroad,themighty1,1
rebroad,kapcom01,1
rebroad,br0x,1
rebroad,dooglio,1
rebroad,elichai,1
laanwj,interfect,1
laanwj,dnohales,1
laanwj,jprupp,1
laanwj,jfisbein,1
laanwj,stevenh512,1
laanwj,themighty1,1
laanwj,kapcom01,1
laanwj,br0x,1
laanwj,dooglio,2
laanwj,elichai,4
interfect,dnohales,1
interfect,jprupp,1
interfect,jfisbein,1
interfect,stevenh512,1
interfect,themighty1,1
interfect,kapcom01,1
interfect,br0x,1
interfect,dooglio,1
interfect,elichai,1
dnohales,jprupp,1
dnohales,jfisbein,1
dnohales,stevenh512,1
dnohales,themighty1,1
dnohales,kapcom01,1
dnohales,br0x,1
dnohales,dooglio,1
dnohales,elichai,1
jprupp,jfisbein,1
jprupp,stevenh512,1
jprupp,themighty1,1
jprupp,kapcom01,1
jprupp,br0x,1
jprupp,dooglio,1
jprupp,elichai,1
jfisbein,stevenh512,1
jfisbein,themighty1,1
jfisbein,kapcom01,1
jfisbein,br0x,1
jfisbein,dooglio,1
jfisbein,elichai,1
stevenh512,themighty1,1
stevenh512,kapcom01,1
stevenh512,br0x,1
stevenh512,dooglio,1
stevenh512,elichai,1
themighty1,kapcom01,1
themighty1,br0x,1
themighty1,dooglio,1
themighty1,elichai,1
kapcom01,br0x,1
kapcom01,dooglio,1
kapcom01,elichai,1
br0x,dooglio,1
br0x,elichai,1
dooglio,elichai,1
coblee,Diapolo,1
coblee,laanwj,2
Diapolo,fanquake,28
fanquake,SteveBell,1
laanwj,SteveBell,1
Diapolo,bilelmoussaoui,1
Diapolo,lhanson,1
jgarzik,bilelmoussaoui,1
jgarzik,MarcoFalke,15
jgarzik,lhanson,1
bilelmoussaoui,MarcoFalke,1
bilelmoussaoui,lhanson,1
MarcoFalke,lhanson,1
Diapolo,mhredmond21,1
Diapolo,EnasQ,1
Diapolo,old-c-coder,1
Diapolo,bc4-old-c-coder,2
sipa,mhredmond21,1
sipa,EnasQ,1
sipa,old-c-coder,2
sipa,bc4-old-c-coder,2
mhredmond21,EnasQ,1
mhredmond21,laanwj,1
mhredmond21,old-c-coder,1
mhredmond21,bc4-old-c-coder,1
EnasQ,laanwj,1
EnasQ,old-c-coder,1
EnasQ,bc4-old-c-coder,1
laanwj,old-c-coder,2
laanwj,bc4-old-c-coder,1
old-c-coder,bc4-old-c-coder,1
gmaxwell,vassilevsky,1
gmaxwell,fanquake,12
vassilevsky,Diapolo,2
vassilevsky,fanquake,1
laanwj,vassilevsky,1
rebroad,Leviathn,3
gavinandresen,Ambrose94,1
burger2,Ambrose94,1
laanwj,Nerzahd,2
laanwj,strk,1
laanwj,L2G,1
laanwj,magharees,1
Nerzahd,strk,1
Nerzahd,Diapolo,1
Nerzahd,gavinandresen,1
Nerzahd,L2G,1
Nerzahd,magharees,1
strk,Diapolo,1
strk,gavinandresen,1
strk,L2G,1
strk,magharees,1
Diapolo,L2G,2
Diapolo,magharees,1
gavinandresen,L2G,1
gavinandresen,magharees,1
L2G,magharees,1
ThePiachu,lovedazi005,1
laanwj,lovedazi005,1
gmaxwell,promag,7
LinusU,laanwj,1
gmaxwell,guysoft,1
guysoft,laanwj,1
Xekyo,sipa,2
Xekyo,MarcoFalke,4
Xekyo,Sjors,1
sipa,MarcoFalke,219
