issue_id,request_by,approved_by,merged_by
#18593,theStack,MarcoFalke,MarcoFalke
#18592,brakmic,MarcoFalke|ryanofsky,
#18591,sipa,hebasto,laanwj
#18589,achow101,fanquake,fanquake
#18588,MarcoFalke,ryanofsky|fanquake,MarcoFalke
#18587,ryanofsky,,jonasschnelli
#18586,laanwj,,laanwj
#18585,theStack,fanquake,MarcoFalke
#18584,MarcoFalke,theStack,MarcoFalke
#18583,tom19990101,,
#18581,hebasto,,MarcoFalke
#18578,promag,hebasto|luke-jr,jonasschnelli
#18577,yahiheb,fanquake,fanquake
#18576,gzhao408,,MarcoFalke
#18575,MarcoFalke,,MarcoFalke
#18574,jonatack,vasild|vasild|vasild|theStack,MarcoFalke
#18572,luke-jr,ryanofsky,
#18571,MarcoFalke,,MarcoFalke
#18570,brakmic,,
#18569,hebasto,,MarcoFalke
#18566,MarcoFalke,,MarcoFalke
#18565,practicalswift,,MarcoFalke
#18564,jimbo313,,
#18563,ryanofsky,,MarcoFalke
#18562,MarcoFalke,,MarcoFalke
#18561,MarcoFalke,,MarcoFalke
#18558,hebasto,,laanwj
#18557,hebasto,,
#18556,hebasto,fanquake,fanquake
#18555,MarcoFalke,,
#18553,sipa,,laanwj
#18551,sipa,ryanofsky|ryanofsky,MarcoFalke
#18550,luke-jr,,
#18549,hebasto,,MarcoFalke
#18546,luke-jr,MarcoFalke,MarcoFalke
#18545,jonatack,theStack,MarcoFalke
#18544,theStack,MarcoFalke,MarcoFalke
#18543,MarcoFalke,,MarcoFalke
#18542,promag,,
#18541,MarcoFalke,theStack,MarcoFalke
#18540,jonatack,,MarcoFalke
#18539,practicalswift,,
#18535,fanquake,hebasto|vasild,fanquake
#18534,fanquake,,MarcoFalke
#18533,MarcoFalke,theStack,MarcoFalke
#18532,MarcoFalke,theStack,MarcoFalke
#18530,glowang,MarcoFalke,MarcoFalke
#18529,sipa,MarcoFalke,MarcoFalke
#18528,brakmic,,MarcoFalke
#18526,hebasto,emilengler|theStack,MarcoFalke
#18525,JetDeveloping,,
#18524,ryanofsky,hebasto,laanwj
#18523,hebasto,,
#18522,SuriyaaKudoIsc,,
#18521,MarcoFalke,,MarcoFalke
#18520,theStack,,MarcoFalke
#18519,MarcoFalke,,MarcoFalke
#18518,MarcoFalke,practicalswift,MarcoFalke
#18516,jonatack,,MarcoFalke
#18515,theStack,,MarcoFalke
#18514,fanquake,,fanquake
#18513,HashUnlimited,fanquake,fanquake
#18512,sipa,fjahr,laanwj
#18510,MarcoFalke,,MarcoFalke
#18509,MarcoFalke,practicalswift,MarcoFalke
#18508,luke-jr,,MarcoFalke
#18507,MarcoFalke,,
#18506,laanwj,,laanwj
#18505,SuriyaaKudoIsc,fanquake,fanquake
#18504,ryanofsky,luke-jr,MarcoFalke
#18503,MarcoFalke,hebasto|fanquake,fanquake
#18502,uzyn,theStack,MarcoFalke
#18501,hebasto,,
#18500,MarcoFalke,fanquake|elichai|theStack|instagibbs,laanwj
#18499,MarcoFalke,,MarcoFalke
#18498,jonatack,,
#18496,jonatack,vasild,MarcoFalke
#18495,vasild,kallewoof,MarcoFalke
#18494,jonatack,vasild,MarcoFalke
#18493,vasild,kristapsk,MarcoFalke
#18492,laanwj,fanquake,laanwj
#18491,pierreN,,
#18490,luke-jr,,
#18489,MarcoFalke,cryptozeny|JosuGZ|benthecarman,
#18487,promag,ryanofsky|ryanofsky,laanwj
#18486,MarcoFalke,,MarcoFalke
#18485,hebasto,ariard,MarcoFalke
#18484,achow101,,MarcoFalke
#18481,theStack,,MarcoFalke
#18478,dongcarl,,
#18477,MarcoFalke,fanquake,fanquake
#18474,MarcoFalke,,MarcoFalke
#18472,MarcoFalke,,MarcoFalke
#18469,luke-jr,,
#18467,fjahr,,MarcoFalke
#18464,MarcoFalke,hebasto,MarcoFalke
#18459,jonatack,hebasto,MarcoFalke
#18458,MarcoFalke,,laanwj
#18455,practicalswift,MarcoFalke,MarcoFalke
#18454,MarcoFalke,,MarcoFalke
#18453,jonatack,,
#18452,hebasto,,jonasschnelli
#18451,jonatack,,MarcoFalke
#18450,practicalswift,luke-jr,
#18449,MarcoFalke,,laanwj
#18447,pierreN,,MarcoFalke
#18445,practicalswift,,MarcoFalke
#18444,luke-jr,,MarcoFalke
#18443,vasild,,laanwj
#18441,hebasto,MarcoFalke,MarcoFalke
#18439,hebasto,ryanofsky,
#18438,hebasto,,MarcoFalke
#18437,vasild,luke-jr,laanwj
#18436,hebasto,,
#18433,pierreN,ryanofsky|ryanofsky|ryanofsky,fanquake
#18432,practicalswift,MarcoFalke,
#18430,MarcoFalke,,MarcoFalke
#18429,brakmic,hebasto|theStack,fanquake
#18426,theStack,fanquake,fanquake
#18425,achow101,theuni,laanwj
#18424,hebasto,,jonasschnelli
#18423,practicalswift,MarcoFalke,MarcoFalke
#18422,jnewbery,theStack,MarcoFalke
#18420,jonatack,ryanofsky,MarcoFalke
#18417,practicalswift,,MarcoFalke
#18416,pierreN,MarcoFalke,laanwj
#18415,fanquake,,laanwj
#18413,pierreN,,fanquake
#18412,theStack,,MarcoFalke
#18410,jnewbery,ryanofsky|ryanofsky,laanwj
#18408,vova557,,
#18407,practicalswift,,MarcoFalke
#18406,theStack,kristapsk,fanquake
#18404,hebasto,,
#18403,vova557,,
#18402,jonatack,hebasto,laanwj
#18401,jnewbery,theStack,MarcoFalke
#18400,hebasto,,
#18399,fjahr,,
#18398,theStack,fanquake,fanquake
#18397,hebasto,fanquake,fanquake
#18396,theStack,,MarcoFalke
#18395,fanquake,hebasto,laanwj
#18394,brakmic,,
#18393,practicalswift,,MarcoFalke
#18392,MarcoFalke,,MarcoFalke
#18391,glowang,MarcoFalke,MarcoFalke
#18388,sipa,theStack,fanquake
#18387,hebasto,,
#18386,laanwj,,MarcoFalke
#18385,MarcoFalke,,
#18384,gzhao408,MarcoFalke|MarcoFalke,MarcoFalke
#18383,elichai,vasild,MarcoFalke
#18382,vasild,theStack|theStack|fanquake,fanquake
#18380,MarcoFalke,,
#18379,4d55397500,,MarcoFalke
#18378,sipa,jnewbery,laanwj
#18377,brakmic,,
#18376,vasild,MarcoFalke,MarcoFalke
#18375,AleGiovanardi,,
#18374,sipa,,
#18371,fanquake,sipsorcery,MarcoFalke
#18367,sipa,,
#18366,jnewbery,,MarcoFalke
#18364,fanquake,hebasto,laanwj
#18363,practicalswift,MarcoFalke,MarcoFalke
#18360,laanwj,,laanwj
#18359,fanquake,,laanwj
#18358,fanquake,MarcoFalke|hebasto,laanwj
#18357,promag,,fanquake
#18353,practicalswift,,MarcoFalke
#18352,MarcoFalke,,
#18350,TheQuantumPhysicist,,MarcoFalke
#18349,hebasto,,
#18347,joe-rodgers,,
#18346,MarcoFalke,,laanwj
#18345,MarcoFalke,,MarcoFalke
#18344,stevenroose,,laanwj
#18343,instagibbs,,
#18342,practicalswift,fanquake,fanquake
#18341,domob1812,,laanwj
#18340,fanquake,vasild,laanwj
#18339,gzhao408,,
#18338,promag,bee22193|ryanofsky|hebasto,laanwj
#18337,MarcoFalke,,
#18334,MarcoFalke,,MarcoFalke
#18333,hebasto,,
#18331,hebasto,,laanwj
#18323,niftynei,,
#18322,MarcoFalke,,
#18320,dongcarl,fanquake,fanquake
#18319,MarcoFalke,,MarcoFalke
#18318,MarcoFalke,,MarcoFalke
#18317,sipa,ryanofsky|ryanofsky|ryanofsky,MarcoFalke
#18316,jonatack,,fanquake
#18314,practicalswift,,MarcoFalke
#18313,za-kk,,
#18312,jonatack,,laanwj
#18311,instagibbs,,MarcoFalke
#18310,jonatack,,MarcoFalke
#18308,practicalswift,hebasto,
#18306,jonatack,MarcoFalke,MarcoFalke
#18305,MarcoFalke,fanquake|fanquake,MarcoFalke
#18304,MarcoFalke,,MarcoFalke
#18303,laanwj,,laanwj
#18300,MarcoFalke,,MarcoFalke
#18299,practicalswift,,MarcoFalke
#18295,fanquake,,fanquake
#18294,charlesrocket,,
#18293,practicalswift,chidieber,
#18292,MarcoFalke,,MarcoFalke
#18291,dannmat,,
#18290,hebasto,fanquake,laanwj
#18289,MarcoFalke,vasild,MarcoFalke
#18286,practicalswift,fanquake,fanquake
#18285,MarcoFalke,,laanwj
#18283,MarcoFalke,,laanwj
#18282,MarcoFalke,,
#18280,promag,ryanofsky|ryanofsky|ryanofsky,
#18279,bvbfan,,
#18278,ryanofsky,hebasto|hebasto,MarcoFalke
#18277,konez2k,,
#18276,yashpatel20,,
#18274,kallewoof,,fanquake
#18273,Shmug5525,,
#18272,Shmug5525,,
#18271,luke-jr,,
#18270,practicalswift,MarcoFalke|theStack,MarcoFalke
#18268,docallag,MarcoFalke,MarcoFalke
#18264,fanquake,,fanquake
#18263,gzhao408,MarcoFalke,MarcoFalke
#18262,achow101,yancyribbens,meshcollider
#18260,Empact,,MarcoFalke
#18259,MarcoFalke,fanquake,fanquake
#18256,ACES-Source,,
#18255,MarcoFalke,,laanwj
#18253,Empact,,fanquake
#18252,vasild,,
#18251,zachwylde00,,
#18250,zachwylde00,,
#18249,MarcoFalke,fanquake,fanquake
#18247,MarcoFalke,,MarcoFalke
#18246,promag,,
#18241,kallewoof,,fanquake
#18237,zachwylde00,,
#18236,v1048576,,
#18234,ajtowns,,laanwj
#18232,MarcoFalke,,
#18230,Mentors4EDU,,
#18229,Empact,fanquake|jonasschnelli,fanquake
#18228,MarcoFalke,,MarcoFalke
#18226,Empact,,
#18225,MarcoFalke,,fanquake
#18224,instagibbs,,meshcollider
#18223,dangershony,nopara73,
#18220,Sjors,,
#18219,corollari,,MarcoFalke
#18218,fanquake,,MarcoFalke
#18216,Empact,practicalswift|hebasto|vasild,fanquake
#18214,instagibbs,,
#18213,MarcoFalke,,MarcoFalke
#18212,dangershony,nopara73,fanquake
#18211,MarcoFalke,fanquake,fanquake
#18210,kiminuo,MarcoFalke|fanquake,fanquake
#18209,MarcoFalke,fanquake,fanquake
#18208,yusufsahinhamza,,MarcoFalke
#18207,sipsorcery,,
#18206,practicalswift,MarcoFalke,MarcoFalke
#18204,achow101,instagibbs|Sjors,laanwj
#18201,Sjors,,
#18200,zengyiheng,,
#18199,practicalswift,,
#18197,yusufsahinhamza,Sjors,
#18196,HonyZahy,,
#18195,yancyribbens,achow101,MarcoFalke
#18193,luke-jr,kallewoof,MarcoFalke
#18192,luke-jr,ryanofsky,
#18190,practicalswift,,MarcoFalke
#18188,MarcoFalke,,
#18187,jonasschnelli,,
#18186,Mentors4EDU,,
#18183,MarcoFalke,,MarcoFalke
#18181,MarcoFalke,,MarcoFalke
#18179,icota,,
#18178,jonatack,,
#18176,practicalswift,MarcoFalke|MarcoFalke,MarcoFalke
#18175,luke-jr,,
#18174,amitiuttarwar,,
#18173,theStack,MarcoFalke,MarcoFalke
#18172,0xB10C,MarcoFalke|theStack,MarcoFalke
#18171,fanquake,,
#18170,travinkeith,,MarcoFalke
#18169,travinkeith,,
#18168,toxeus,,laanwj
#18167,TheQuantumPhysicist,kristapsk,laanwj
#18166,practicalswift,MarcoFalke,MarcoFalke
#18165,luke-jr,,jonasschnelli
#18164,theStack,,
#18163,achow101,,
#18162,practicalswift,theStack|elichai|elichai,fanquake
#18160,promag,hebasto|jonasschnelli|instagibbs|ryanofsky,
#18159,practicalswift,,MarcoFalke
#18157,jkcd,MarcoFalke,MarcoFalke
